date,rr,precipitation
19971223,   14,1.4
19971224,   40,4
19971225,   48,4.8
19971226,   32,3.2
19971227,    0,0
19971228,    2,0.2
19971229,   10,1
19971230,   30,3
19971231,    0,0
19980101,  124,12.4
19980102,   70,7
19980103,   58,5.8
19980104,  120,12
19980105,   66,6.6
19980106,   44,4.4
19980107,   22,2.2
19980108,    8,0.8
19980109,    0,0
19980110,    2,0.2
19980111,    0,0
19980112,    0,0
19980113,   72,7.2
19980114,   10,1
19980115,    0,0
19980116,    0,0
19980117,   22,2.2
19980118,   64,6.4
19980119,    0,0
19980120,    0,0
19980121,    0,0
19980122,    0,0
19980123,    0,0
19980124,    0,0
19980125,    0,0
19980126,    0,0
19980127,    0,0
19980128,    2,0.2
19980129,    0,0
19980130,    0,0
19980131,    2,0.2
19980201,    0,0
19980202,    0,0
19980203,    0,0
19980204,    0,0
19980205,    0,0
19980206,   28,2.8
19980207,    0,0
19980208,    0,0
19980209,    0,0
19980210,    0,0
19980211,    0,0
19980212,    0,0
19980213,    0,0
19980214,    0,0
19980215,    0,0
19980216,    0,0
19980217,    0,0
19980218,    0,0
19980219,    0,0
19980220,    0,0
19980221,    8,0.8
19980222,    2,0.2
19980223,   10,1
19980224,    0,0
19980225,    0,0
19980226,    0,0
19980227,   18,1.8
19980228,    0,0
19980301,    0,0
19980302,   52,5.2
19980303,   62,6.2
19980304,    0,0
19980305,   94,9.4
19980306,   52,5.2
19980307,   52,5.2
19980308,    0,0
19980309,    0,0
19980310,   67,6.7
19980311,    6,0.6
19980312,   20,2
19980313,    0,0
19980314,    0,0
19980315,    0,0
19980316,    0,0
19980317,    0,0
19980318,    0,0
19980319,    0,0
19980320,    0,0
19980321,    0,0
19980322,    0,0
19980323,    0,0
19980324,   28,2.8
19980325,   40,4
19980326,   24,2.4
19980327,    0,0
19980328,    4,0.4
19980329,    4,0.4
19980330,    0,0
19980331,    6,0.6
19980401,   35,3.5
19980402,   28,2.8
19980403,   68,6.8
19980404,    4,0.4
19980405,   70,7
19980406,   30,3
19980407,    4,0.4
19980408,   54,5.4
19980409,   38,3.8
19980410,   28,2.8
19980411,    8,0.8
19980412,    0,0
19980413,    8,0.8
19980414,   70,7
19980415,   64,6.4
19980416,   32,3.2
19980417,    0,0
19980418,   22,2.2
19980419,   84,8.4
19980420,    0,0
19980421,    8,0.8
19980422,   10,1
19980423,   16,1.6
19980424,   24,2.4
19980425,   36,3.6
19980426,   18,1.8
19980427,   43,4.3
19980428,   24,2.4
19980429,    0,0
19980430,    0,0
19980501,    0,0
19980502,    0,0
19980503,    0,0
19980504,    0,0
19980505,    0,0
19980506,    2,0.2
19980507,    0,0
19980508,    0,0
19980509,    0,0
19980510,    2,0.2
19980511,    0,0
19980512,    0,0
19980513,   10,1
19980514,   68,6.8
19980515,    0,0
19980516,    0,0
19980517,    0,0
19980518,    0,0
19980519,    0,0
19980520,    0,0
19980521,    0,0
19980522,    0,0
19980523,    0,0
19980524,    0,0
19980525,   45,4.5
19980526,  108,10.8
19980527,    6,0.6
19980528,   38,3.8
19980529,    0,0
19980530,   40,4
19980531,    0,0
19980601,   78,7.8
19980602,   34,3.4
19980603,    6,0.6
19980604,    0,0
19980605,    0,0
19980606,   10,1
19980607,   10,1
19980608,   34,3.4
19980609,   32,3.2
19980610,   56,5.6
19980611,   18,1.8
19980612,    2,0.2
19980613,  116,11.6
19980614,   60,6
19980615,   28,2.8
19980616,    6,0.6
19980617,   66,6.6
19980618,    0,0
19980619,    0,0
19980620,    0,0
19980621,    0,0
19980622,   10,1
19980623,    4,0.4
19980624,   74,7.4
19980625,   14,1.4
19980626,   56,5.6
19980627,   88,8.8
19980628,    0,0
19980629,   94,9.4
19980630,    0,0
19980701,    0,0
19980702,    0,0
19980703,    0,0
19980704,    0,0
19980705,    0,0
19980706,    6,0.6
19980707,    0,0
19980708,    2,0.2
19980709,    0,0
19980710,    2,0.2
19980711,   74,7.4
19980712,   39,3.9
19980713,    2,0.2
19980714,    0,0
19980715,   22,2.2
19980716,    2,0.2
19980717,    0,0
19980718,    0,0
19980719,    0,0
19980720,    6,0.6
19980721,    0,0
19980722,   22,2.2
19980723,    2,0.2
19980724,    0,0
19980725,    0,0
19980726,   20,2
19980727,    0,0
19980728,    8,0.8
19980729,    4,0.4
19980730,   16,1.6
19980731,   42,4.2
19980801,    0,0
19980802,    0,0
19980803,    8,0.8
19980804,    0,0
19980805,    0,0
19980806,    0,0
19980807,    0,0
19980808,    0,0
19980809,    0,0
19980810,    0,0
19980811,    0,0
19980812,    0,0
19980813,    0,0
19980814,   78,7.8
19980815,    0,0
19980816,    0,0
19980817,    0,0
19980818,    0,0
19980819,    0,0
19980820,    0,0
19980821,    0,0
19980822,    8,0.8
19980823,   52,5.2
19980824,    2,0.2
19980825,    4,0.4
19980826,    2,0.2
19980827,    0,0
19980828,    0,0
19980829,    0,0
19980830,    0,0
19980831,   12,1.2
19980901,    0,0
19980902,  128,12.8
19980903,    2,0.2
19980904,  202,20.2
19980905,   33,3.3
19980906,    0,0
19980907,   22,2.2
19980908,    1,0.1
19980909,   28,2.8
19980910,    4,0.4
19980911,    0,0
19980912,  106,10.6
19980913,    0,0
19980914,    6,0.6
19980915,   20,2
19980916,    0,0
19980917,    0,0
19980918,    0,0
19980919,    0,0
19980920,    0,0
19980921,    0,0
19980922,    0,0
19980923,    0,0
19980924,    0,0
19980925,    4,0.4
19980926,  214,21.4
19980927,   36,3.6
19980928,    0,0
19980929,   36,3.6
19980930,  170,17
19981001,    0,0
19981002,    0,0
19981003,    0,0
19981004,   14,1.4
19981005,  114,11.4
19981006,    0,0
19981007,    2,0.2
19981008,    0,0
19981009,   28,2.8
19981010,   14,1.4
19981011,    0,0
19981012,    8,0.8
19981013,   28,2.8
19981014,   12,1.2
19981015,    0,0
19981016,  110,11
19981017,    0,0
19981018,    0,0
19981019,    0,0
19981020,   32,3.2
19981021,    0,0
19981022,   82,8.2
19981023,   34,3.4
19981024,  158,15.8
19981025,   18,1.8
19981026,   48,4.8
19981027,   48,4.8
19981028,   16,1.6
19981029,   14,1.4
19981030,   14,1.4
19981031,  244,24.4
19981101,   12,1.2
19981102,   98,9.8
19981103,   38,3.8
19981104,    0,0
19981105,   20,2
19981106,    0,0
19981107,   44,4.4
19981108,   56,5.6
19981109,   52,5.2
19981110,    0,0
19981111,   22,2.2
19981112,    0,0
19981113,  102,10.2
19981114,    2,0.2
19981115,    2,0.2
19981116,    0,0
19981117,    2,0.2
19981118,    0,0
19981119,    2,0.2
19981120,    0,0
19981121,    0,0
19981122,    0,0
19981123,    0,0
19981124,   78,7.8
19981125,    0,0
19981126,    4,0.4
19981127,    1,0.1
19981128,   35,3.5
19981129,    0,0
19981130,    0,0
19981201,    0,0
19981202,    0,0
19981203,    2,0.2
19981204,    0,0
19981205,    2,0.2
19981206,    0,0
19981207,    2,0.2
19981208,   22,2.2
19981209,    0,0
19981210,   54,5.4
19981211,    4,0.4
19981212,   20,2
19981213,    0,0
19981214,    4,0.4
19981215,   27,2.7
19981216,    0,0
19981217,   12,1.2
19981218,   39,3.9
19981219,    0,0
19981220,    0,0
19981221,    4,0.4
19981222,    6,0.6
19981223,   80,8
19981224,   34,3.4
19981225,   48,4.8
19981226,   66,6.6
19981227,    4,0.4
19981228,    0,0
19981229,    0,0
19981230,   52,5.2
19981231,   10,1
19990101,   34,3.4
19990102,   66,6.6
19990103,   36,3.6
19990104,    2,0.2
19990105,    0,0
19990106,   26,2.6
19990107,   38,3.8
19990108,   60,6
19990109,    0,0
19990110,    0,0
19990111,   12,1.2
19990112,   72,7.2
19990113,    6,0.6
19990114,    8,0.8
19990115,  130,13
19990116,    0,0
19990117,    0,0
19990118,   29,2.9
19990119,   72,7.2
19990120,    4,0.4
19990121,    1,0.1
19990122,    1,0.1
19990123,   10,1
19990124,    0,0
19990125,    0,0
19990126,   50,5
