date,ss,sunshine
20181231,    0,0
20190101,    5,0.5
20190102,    0,0
20190103,    0,0
20190104,   47,4.7
20190105,    0,0
20190106,    2,0.2
20190107,    0,0
20190108,   51,5.1
20190109,   31,3.1
20190110,    0,0
20190111,    2,0.2
20190112,    0,0
20190113,    1,0.1
20190114,   18,1.8
20190115,    1,0.1
20190116,    0,0
20190117,   61,6.1
20190118,    8,0.8
20190119,    0,0
20190120,   57,5.7
20190121,    3,0.3
20190122,   40,4
20190123,   16,1.6
20190124,    0,0
20190125,   28,2.8
20190126,    3,0.3
20190127,   19,1.9
20190128,   70,7
20190129,    4,0.4
20190130,   63,6.3
20190131,   34,3.4
20190201,    0,0
20190202,   57,5.7
20190203,   70,7
20190204,    0,0
20190205,    0,0
20190206,    7,0.7
20190207,   53,5.3
20190208,    0,0
20190209,   37,3.7
20190210,    9,0.9
20190211,   42,4.2
20190212,   26,2.6
20190213,   27,2.7
20190214,   84,8.4
20190215,   84,8.4
20190216,    0,0
20190217,   58,5.8
20190218,    0,0
20190219,   53,5.3
20190220,   38,3.8
20190221,   54,5.4
20190222,   59,5.9
20190223,   63,6.3
20190224,   91,9.1
20190225,   95,9.5
20190226,   96,9.6
20190227,   92,9.2
20190228,    7,0.7
20190301,    1,0.1
20190302,   23,2.3
20190303,    0,0
20190304,   34,3.4
20190305,   56,5.6
20190306,    0,0
20190307,   40,4
20190308,   34,3.4
20190309,   34,3.4
20190310,   60,6
20190311,   83,8.3
20190312,   15,1.5
20190313,   26,2.6
20190314,   40,4
20190315,   12,1.2
20190316,    0,0
20190317,   63,6.3
20190318,   38,3.8
20190319,    5,0.5
20190320,    0,0
20190321,    1,0.1
20190322,    0,0
20190323,   16,1.6
20190324,  106,10.6
20190325,  111,11.1
20190326,   81,8.1
20190327,   24,2.4
20190328,   53,5.3
20190329,  114,11.4
20190330,   82,8.2
20190331,   38,3.8
20190401,  114,11.4
20190402,   21,2.1
20190403,   42,4.2
20190404,   16,1.6
20190405,   28,2.8
20190406,    5,0.5
20190407,    0,0
20190408,    2,0.2
20190409,    0,0
20190410,  118,11.8
20190411,  125,12.5
20190412,   36,3.6
20190413,   66,6.6
20190414,   80,8
20190415,  110,11
20190416,   14,1.4
20190417,   96,9.6
20190418,  110,11
20190419,  123,12.3
20190420,  129,12.9
20190421,  128,12.8
20190422,   75,7.5
20190423,   15,1.5
20190424,   23,2.3
20190425,   31,3.1
20190426,   49,4.9
20190427,   12,1.2
20190428,   11,1.1
20190429,   27,2.7
20190430,   95,9.5
20190501,   38,3.8
20190502,   47,4.7
20190503,   19,1.9
20190504,   95,9.5
20190505,   43,4.3
20190506,   20,2
20190507,   69,6.9
20190508,   18,1.8
20190509,   19,1.9
20190510,   49,4.9
20190511,   46,4.6
20190512,  113,11.3
20190513,  137,13.7
20190514,  140,14
20190515,  129,12.9
20190516,  117,11.7
20190517,    5,0.5
20190518,    7,0.7
20190519,    3,0.3
20190520,   31,3.1
20190521,  119,11.9
20190522,   94,9.4
20190523,  108,10.8
20190524,   76,7.6
20190525,   45,4.5
20190526,   17,1.7
20190527,   40,4
20190528,   47,4.7
20190529,    3,0.3
20190530,   46,4.6
20190531,   23,2.3
20190601,  115,11.5
20190602,   71,7.1
20190603,   68,6.8
20190604,    8,0.8
20190605,   46,4.6
20190606,  119,11.9
20190607,   15,1.5
20190608,   76,7.6
20190609,   64,6.4
20190610,    0,0
20190611,    8,0.8
20190612,   17,1.7
20190613,    0,0
20190614,   53,5.3
20190615,   37,3.7
20190616,   47,4.7
20190617,   93,9.3
20190618,   24,2.4
20190619,    1,0.1
20190620,   65,6.5
20190621,   98,9.8
20190622,  119,11.9
20190623,   10,1
20190624,   17,1.7
20190625,   10,1
20190626,   35,3.5
20190627,  133,13.3
20190628,  127,12.7
20190629,  136,13.6
20190630,   89,8.9
20190701,   74,7.4
20190702,   96,9.6
20190703,  109,10.9
20190704,  141,14.1
20190705,   85,8.5
20190706,   47,4.7
20190707,   30,3
20190708,   48,4.8
20190709,   18,1.8
20190710,   31,3.1
20190711,   79,7.9
20190712,   92,9.2
20190713,   50,5
20190714,   25,2.5
20190715,   61,6.1
20190716,  131,13.1
20190717,   66,6.6
20190718,   25,2.5
20190719,    0,0
20190720,   69,6.9
20190721,   57,5.7
20190722,   71,7.1
20190723,  132,13.2
20190724,  122,12.2
20190725,   95,9.5
20190726,    7,0.7
20190727,    0,0
20190728,   13,1.3
20190729,  114,11.4
20190730,   15,1.5
20190731,   42,4.2
20190801,   57,5.7
20190802,   66,6.6
20190803,   30,3
20190804,    5,0.5
20190805,   48,4.8
20190806,   59,5.9
20190807,   53,5.3
20190808,   54,5.4
20190809,   38,3.8
20190810,   56,5.6
20190811,   72,7.2
20190812,   13,1.3
20190813,   98,9.8
20190814,    1,0.1
20190815,   70,7
20190816,    0,0
20190817,   75,7.5
20190818,   37,3.7
20190819,   75,7.5
20190820,   99,9.9
20190821,   84,8.4
20190822,   90,9
20190823,  122,12.2
20190824,  111,11.1
20190825,  110,11
20190826,  120,12
20190827,  104,10.4
20190828,   33,3.3
20190829,   89,8.9
20190830,   86,8.6
20190831,   57,5.7
20190901,   86,8.6
